instance,language
kirche.social,en
kirche.social,de
nycr.social,en
mastodon.furrypaws.cc,en
social.randomserver.org,en
social.randomserver.org,de
csed.social,en
xreality.social,en
cliff.social,en
mtl.rocks,en
mtl.rocks,fr
body.social,en
body.social,fr
body.social,de
body.social,es
mastodon.devua.club,en
mastodon.devua.club,uk
anti-social.online,en
yyc.bike,en
yyc.bike,fr
social.desbasques.com,en
social.desbasques.com,fr
veganism.social,en
veganism.social,de
synapse.cafe,en
transportation.social,en
squawk.social,en
rebel.ar,en
rebel.ar,es
est.social,et
usr.cloud,en
social.undeadnetwork.de,en
social.undeadnetwork.de,de
fedi.skladka.net,cs
fedi.skladka.net,en
fedi.skladka.net,sk
mstdn.dk,da
mstdn.dk,en
cupoftea.social,en
beef.moe,en
mastodon.aguiarvieira.pt,en
mastodon.aguiarvieira.pt,pt
asstodon.social,fr
mastodon.london,en
datboi.network,en
talking.dev,en
batchats.net,en
blahaj.finch.ink,en
mastodon.vapronva.pw,en
mastodon.vapronva.pw,ru
mastodon.hexix.de,de
freespeech.chat,cs
freespeech.chat,en
harz.social,de
datasci.social,en
sardegna.social,it
az.social,en
wxcloud.social,en
raphus.social,en
babka.social,en
babka.social,he
babka.social,yi
catharsis.cafe,fr
nightcord.de,zh
nightcord.de,en
nightcord.de,ja
seda.social,en
seda.social,es
poliversity.it,it
